t,S,I,R,C,integer_day,time_diff,S2I_transitions
241.3334542952232,41429,16,58555,58471,242,0.6665457047768086,1
242.98613637495356,41429,13,58558,58471,243,0.01386362504644012,0
243.83064067365657,41428,12,58560,58472,244,0.1693593263434252,1
244.4614030949014,41427,11,58562,58473,245,0.5385969050985864,1
245.5366719527348,41426,12,58562,58474,246,0.4633280472652075,1
247.53653939581656,41424,11,58565,58476,248,0.4634606041834388,2
248.81423729054225,41423,10,58567,58477,249,0.1857627094577481,1
249.30212100934955,41423,8,58569,58477,250,0.6978789906504517,0
250.8370202431664,41421,8,58571,58479,251,0.16297975683360733,2
251.64088574698147,41421,6,58573,58479,252,0.3591142530185323,0
252.66217758653028,41420,6,58574,58480,253,0.3378224134697234,1
255.2156640594001,41419,6,58575,58481,256,0.7843359405999024,1
256.89323866310497,41419,5,58576,58481,257,0.10676133689503331,0
257.927783127505,41418,5,58577,58482,258,0.07221687249500519,1
258.09856983473924,41417,5,58578,58483,259,0.9014301652607628,1
259.91409015071554,41417,4,58579,58483,260,0.08590984928446233,0
260.87115845888076,41416,5,58579,58484,261,0.12884154111924317,1
261.6518977258838,41416,4,58580,58484,262,0.34810227411617234,0
262.1650453517467,41416,3,58581,58484,263,0.8349546482533015,0
265.723784405567,41416,2,58582,58484,266,0.2762155944329834,0
266.792477891743,41416,1,58583,58484,267,0.20752210825702377,0
272.68713353704294,41416,0,58584,58484,273,0.3128664629570608,0
